x,original_f(x),spline_S(x)
-4,3.60112e-06,3.60112e-06
-3.95,4.39842e-06,-0.00414479
-3.9,5.37225e-06,-0.00821405
-3.85,6.56168e-06,-0.012125
-3.8,8.01445e-06,-0.0157986
-3.75,9.78887e-06,-0.0191556
-3.7,1.19561e-05,-0.022117
-3.65,1.46033e-05,-0.0246035
-3.6,1.78365e-05,-0.0265361
-3.55,2.17855e-05,-0.0278356
-3.5,2.66089e-05,-0.0284229
-3.45,3.25001e-05,-0.0282188
-3.4,3.96957e-05,-0.0271443
-3.35,4.84845e-05,-0.0251201
-3.3,5.9219e-05,-0.0220671
-3.25,7.23302e-05,-0.0179062
-3.2,8.83442e-05,-0.0125583
-3.15,0.000107904,-0.00594426
-3.1,0.000131794,0.00201427
-3.05,0.000160973,0.0112558
-3,0.000196612,0.0214261
-2.95,0.000240142,0.0321338
-2.9,0.000293309,0.0429877
-2.85,0.000358247,0.0535966
-2.8,0.000437562,0.0635692
-2.75,0.000534437,0.0725144
-2.7,0.000652757,0.0800409
-2.65,0.000797273,0.0857574
-2.6,0.00097378,0.0892727
-2.55,0.00118936,0.0901957
-2.5,0.00145267,0.0881349
-2.45,0.00177425,0.0826993
-2.4,0.00216703,0.0734976
-2.35,0.00264673,0.0601386
-2.3,0.00323261,0.042231
-2.25,0.00394814,0.0193835
-2.2,0.004822,-0.00876532
-2.15,0.00588922,-0.0416778
-2.1,0.00719252,-0.0777763
-2.05,0.00878409,-0.115425
-2,0.0107276,-0.15299
-1.95,0.0131008,-0.188834
-1.9,0.0159984,-0.221322
-1.85,0.0195362,-0.248819
-1.8,0.0238551,-0.269689
-1.75,0.0291271,-0.282297
-1.7,0.0355615,-0.285007
-1.65,0.0434136,-0.276185
-1.6,0.0529936,-0.254193
-1.55,0.064679,-0.217398
-1.5,0.0789283,-0.164164
-1.45,0.0962978,-0.0928539
-1.4,0.117461,-0.00183394
-1.35,0.143234,0.110532
-1.3,0.174598,0.24568
-1.25,0.212738,0.402729
-1.2,0.25907,0.579303
-1.15,0.315288,0.773002
-1.1,0.383403,0.981426
-1.05,0.465784,1.20217
-1,0.565207,1.43284
-0.95,0.684879,1.67104
-0.9,0.828467,1.91435
-0.85,1.00008,2.16039
-0.8,1.20422,2.40674
-0.75,1.44565,2.65102
-0.7,1.72922,2.89082
-0.65,2.05947,3.12373
-0.6,2.44016,3.34736
-0.55,2.87361,3.55932
-0.5,3.35979,3.75718
-0.45,3.89534,3.93857
-0.4,4.47244,4.10135
-0.35,5.07792,4.24498
-0.3,5.69262,4.36946
-0.25,6.29158,4.47479
-0.2,6.84511,4.56097
-0.15,7.3211,4.628
-0.1,7.68834,4.67588
-0.05,7.92053,4.7046
-5.84255e-15,8,4.71418
0.05,7.92053,4.7046
0.1,7.68834,4.67588
0.15,7.3211,4.628
0.2,6.84511,4.56097
0.25,6.29158,4.47479
0.3,5.69262,4.36946
0.35,5.07792,4.24498
0.4,4.47244,4.10135
0.45,3.89534,3.93857
0.5,3.35979,3.75718
0.55,2.87361,3.55932
0.6,2.44016,3.34736
0.65,2.05947,3.12373
0.7,1.72922,2.89082
0.75,1.44565,2.65102
0.8,1.20422,2.40674
0.85,1.00008,2.16039
0.9,0.828467,1.91435
0.95,0.684879,1.67104
1,0.565207,1.43284
1.05,0.465784,1.20217
1.1,0.383403,0.981426
1.15,0.315288,0.773002
1.2,0.25907,0.579303
1.25,0.212738,0.402729
1.3,0.174598,0.24568
1.35,0.143234,0.110532
1.4,0.117461,-0.00183394
1.45,0.0962978,-0.0928539
1.5,0.0789283,-0.164164
1.55,0.064679,-0.217398
1.6,0.0529936,-0.254193
1.65,0.0434136,-0.276185
1.7,0.0355615,-0.285007
1.75,0.0291271,-0.282297
1.8,0.0238551,-0.269689
1.85,0.0195362,-0.248819
1.9,0.0159984,-0.221322
1.95,0.0131008,-0.188834
2,0.0107276,-0.15299
2.05,0.00878409,-0.115425
2.1,0.00719252,-0.0777763
2.15,0.00588922,-0.0416778
2.2,0.004822,-0.00876532
2.25,0.00394814,0.0193835
2.3,0.00323261,0.042231
2.35,0.00264673,0.0601386
2.4,0.00216703,0.0734976
2.45,0.00177425,0.0826993
2.5,0.00145267,0.0881349
2.55,0.00118936,0.0901957
2.6,0.00097378,0.0892727
2.65,0.000797273,0.0857574
2.7,0.000652757,0.0800409
2.75,0.000534437,0.0725144
2.8,0.000437562,0.0635692
2.85,0.000358247,0.0535966
2.9,0.000293309,0.0429877
2.95,0.000240142,0.0321338
3,0.000196612,0.0214261
3.05,0.000160973,0.0112558
3.1,0.000131794,0.00201427
3.15,0.000107904,-0.00594426
3.2,8.83442e-05,-0.0125583
3.25,7.23302e-05,-0.0179062
3.3,5.9219e-05,-0.0220671
3.35,4.84845e-05,-0.0251201
3.4,3.96957e-05,-0.0271443
3.45,3.25001e-05,-0.0282188
3.5,2.66089e-05,-0.0284229
3.55,2.17855e-05,-0.0278356
3.6,1.78365e-05,-0.0265361
3.65,1.46033e-05,-0.0246035
3.7,1.19561e-05,-0.022117
3.75,9.78887e-06,-0.0191556
3.8,8.01445e-06,-0.0157986
3.85,6.56168e-06,-0.012125
3.9,5.37225e-06,-0.00821405
3.95,4.39842e-06,-0.00414479
4,3.60112e-06,3.60112e-06
